provider	engine	sampler	n_for_train	seed	accuracy	precision	recall	f1
anthropic	claude-3-haiku-20240307	equal	2	36	0.55	0.5319148936170213	0.9803921568627452	0.6896551724137931
anthropic	claude-3-haiku-20240307	equal	4	12345	0.47	0.4	0.0784313725490196	0.1311475409836065
anthropic	claude-3-haiku-20240307	equal	6	36	0.52	0.5405405405405406	0.392156862745098	0.4545454545454545
anthropic	claude-3-haiku-20240307	equal	6	42	0.6	0.5797101449275363	0.7843137254901961	0.6666666666666666
anthropic	claude-3-haiku-20240307	equal	6	84	0.55	0.5375	0.8431372549019608	0.6564885496183206
anthropic	claude-3-haiku-20240307	equal	6	200	0.55	0.546875	0.6862745098039216	0.6086956521739131
anthropic	claude-3-haiku-20240307	equal	6	12345	0.55	0.5714285714285714	0.4705882352941176	0.5161290322580645
anthropic	claude-3-haiku-20240307	equal	8	36	0.56	0.5492957746478874	0.7647058823529411	0.639344262295082
anthropic	claude-3-haiku-20240307	equal	8	42	0.53	0.5263157894736842	0.7843137254901961	0.6299212598425197
anthropic	claude-3-haiku-20240307	equal	8	84	0.59	0.5625	0.8823529411764706	0.6870229007633588
anthropic	claude-3-haiku-20240307	equal	8	200	0.54	0.5675675675675675	0.4117647058823529	0.4772727272727273
anthropic	claude-3-haiku-20240307	equal	2	42	0.55	0.5319148936170213	0.9803921568627452	0.6896551724137931
anthropic	claude-3-haiku-20240307	equal	8	12345	0.56	0.5813953488372093	0.4901960784313725	0.5319148936170213
anthropic	claude-3-haiku-20240307	equal	10	36	0.48	0.4948453608247423	0.9411764705882352	0.6486486486486487
anthropic	claude-3-haiku-20240307	equal	10	42	0.59	0.5961538461538461	0.6078431372549019	0.6019417475728155
anthropic	claude-3-haiku-20240307	equal	10	84	0.56	0.574468085106383	0.5294117647058824	0.5510204081632653
anthropic	claude-3-haiku-20240307	equal	10	200	0.53	0.5333333333333333	0.6274509803921569	0.5765765765765766
anthropic	claude-3-haiku-20240307	equal	10	12345	0.52	0.5164835164835165	0.9215686274509804	0.6619718309859155
anthropic	claude-3-opus-20240229	equal	2	36	0.51	0.51	1.0	0.6754966887417219
anthropic	claude-3-opus-20240229	equal	2	42	0.51	0.51	1.0	0.6754966887417219
anthropic	claude-3-opus-20240229	equal	2	84	0.51	0.51	1.0	0.6754966887417219
anthropic	claude-3-opus-20240229	equal	2	200	0.51	0.51	1.0	0.6754966887417219
anthropic	claude-3-haiku-20240307	equal	2	84	0.55	0.5319148936170213	0.9803921568627452	0.6896551724137931
anthropic	claude-3-opus-20240229	equal	2	12345	0.51	0.51	1.0	0.6754966887417219
anthropic	claude-3-opus-20240229	equal	4	36	0.47	0.3333333333333333	0.0392156862745098	0.0701754385964912
anthropic	claude-3-opus-20240229	equal	4	42	0.5	0.5555555555555556	0.0980392156862745	0.1666666666666666
anthropic	claude-3-opus-20240229	equal	4	84	0.51	0.5625	0.1764705882352941	0.2686567164179104
anthropic	claude-3-opus-20240229	equal	4	200	0.49	0.5	0.0588235294117647	0.1052631578947368
anthropic	claude-3-opus-20240229	equal	4	12345	0.51	0.5714285714285714	0.1568627450980392	0.2461538461538461
anthropic	claude-3-opus-20240229	equal	6	36	0.52	0.6153846153846154	0.1568627450980392	0.25
anthropic	claude-3-opus-20240229	equal	6	42	0.51	0.51	1.0	0.6754966887417219
anthropic	claude-3-opus-20240229	equal	6	84	0.54	0.5257731958762887	1.0	0.6891891891891891
anthropic	claude-3-opus-20240229	equal	6	200	0.54	0.5263157894736842	0.9803921568627452	0.684931506849315
anthropic	claude-3-haiku-20240307	equal	2	200	0.56	0.5368421052631579	1.0	0.6986301369863014
anthropic	claude-3-opus-20240229	equal	6	12345	0.52	0.5168539325842697	0.9019607843137256	0.6571428571428571
anthropic	claude-3-opus-20240229	equal	8	36	0.52	0.5789473684210527	0.2156862745098039	0.3142857142857143
anthropic	claude-3-opus-20240229	equal	8	42	0.51	0.51	1.0	0.6754966887417219
anthropic	claude-3-opus-20240229	equal	8	84	0.52	0.5151515151515151	1.0	0.68
anthropic	claude-3-opus-20240229	equal	8	200	0.5	0.5333333333333333	0.1568627450980392	0.2424242424242424
anthropic	claude-3-opus-20240229	equal	8	12345	0.54	0.5268817204301075	0.9607843137254902	0.6805555555555556
anthropic	claude-3-opus-20240229	equal	10	36	0.51	0.51	1.0	0.6754966887417219
anthropic	claude-3-opus-20240229	equal	10	42	0.51	0.51	1.0	0.6754966887417219
anthropic	claude-3-opus-20240229	equal	10	84	0.51	0.5833333333333334	0.1372549019607843	0.2222222222222222
anthropic	claude-3-opus-20240229	equal	10	200	0.51	0.55	0.2156862745098039	0.3098591549295774
anthropic	claude-3-haiku-20240307	equal	2	12345	0.55	0.5319148936170213	0.9803921568627452	0.6896551724137931
anthropic	claude-3-opus-20240229	equal	10	12345	0.51	0.51	1.0	0.6754966887417219
anthropic	claude-3-haiku-20240307	equal	4	36	0.49	0.5	0.1176470588235294	0.1904761904761904
anthropic	claude-3-haiku-20240307	equal	4	42	0.49	0.5	0.0392156862745098	0.0727272727272727
anthropic	claude-3-haiku-20240307	equal	4	84	0.5	0.5333333333333333	0.1568627450980392	0.2424242424242424
anthropic	claude-3-haiku-20240307	equal	4	200	0.49	0.5	0.0392156862745098	0.0727272727272727
mistral	mistral-small-latest	equal	2	84	0.5	0.5051546391752577	0.9607843137254902	0.6621621621621622
mistral	mistral-small-latest	equal	2	200	0.5	0.5051546391752577	0.9607843137254902	0.6621621621621622
mistral	mistral-small-latest	equal	2	12345	0.5	0.5051546391752577	0.9607843137254902	0.6621621621621622
mistral	mistral-small-latest	equal	4	36	0.43	0.4285714285714285	0.3529411764705882	0.3870967741935484
mistral	mistral-small-latest	equal	4	42	0.5	0.5238095238095238	0.2156862745098039	0.3055555555555556
mistral	mistral-small-latest	equal	4	84	0.48	0.4814814814814814	0.2549019607843137	0.3333333333333333
mistral	mistral-small-latest	equal	4	200	0.51	0.5294117647058824	0.3529411764705882	0.4235294117647059
mistral	mistral-small-latest	equal	4	12345	0.48	0.4761904761904761	0.196078431372549	0.2777777777777778
mistral	mistral-small-latest	equal	6	36	0.44	0.4074074074074074	0.2156862745098039	0.282051282051282
mistral	mistral-small-latest	equal	6	42	0.49	0.5	0.6666666666666666	0.5714285714285714
mistral	mistral-small-latest	equal	6	84	0.47	0.484375	0.6078431372549019	0.5391304347826087
mistral	mistral-small-latest	equal	6	200	0.54	0.5373134328358209	0.7058823529411765	0.6101694915254238
mistral	mistral-small-latest	equal	6	12345	0.47	0.4833333333333333	0.5686274509803921	0.5225225225225225
mistral	mistral-small-latest	equal	8	36	0.43	0.4318181818181818	0.3725490196078431	0.4
mistral	mistral-small-latest	equal	8	42	0.51	0.5161290322580645	0.6274509803921569	0.5663716814159292
mistral	mistral-small-latest	equal	8	84	0.47	0.4833333333333333	0.5686274509803921	0.5225225225225225
mistral	mistral-small-latest	equal	8	200	0.43	0.4166666666666667	0.2941176470588235	0.3448275862068966
mistral	mistral-small-latest	equal	8	12345	0.45	0.4756097560975609	0.7647058823529411	0.5864661654135338
mistral	mistral-small-latest	equal	10	36	0.5	0.5058823529411764	0.8431372549019608	0.6323529411764706
mistral	mistral-small-latest	equal	10	42	0.49	0.5	0.4313725490196078	0.4631578947368421
mistral	mistral-small-latest	equal	10	84	0.42	0.3939393939393939	0.2549019607843137	0.3095238095238095
mistral	mistral-small-latest	equal	10	200	0.42	0.4363636363636363	0.4705882352941176	0.4528301886792453
mistral	mistral-small-latest	equal	10	12345	0.5	0.5072463768115942	0.6862745098039216	0.5833333333333334
mistral	mistral-large-latest	equal	2	36	0.48	0.4	0.0392156862745098	0.0714285714285714
mistral	mistral-large-latest	equal	2	42	0.48	0.4	0.0392156862745098	0.0714285714285714
mistral	mistral-large-latest	equal	2	84	0.48	0.4	0.0392156862745098	0.0714285714285714
mistral	mistral-large-latest	equal	2	200	0.48	0.4	0.0392156862745098	0.0714285714285714
mistral	mistral-large-latest	equal	2	12345	0.48	0.4	0.0392156862745098	0.0714285714285714
mistral	mistral-large-latest	equal	4	36	0.49	0.5	0.1372549019607843	0.2153846153846154
mistral	mistral-large-latest	equal	4	42	0.49	0.5	0.1176470588235294	0.1904761904761904
mistral	mistral-large-latest	equal	4	84	0.53	0.625	0.196078431372549	0.2985074626865671
mistral	mistral-large-latest	equal	4	200	0.52	0.56	0.2745098039215686	0.3684210526315789
mistral	mistral-large-latest	equal	4	12345	0.5	0.5454545454545454	0.1176470588235294	0.1935483870967742
mistral	mistral-large-latest	equal	6	36	0.55	0.5576923076923077	0.5686274509803921	0.5631067961165048
mistral	mistral-large-latest	equal	6	42	0.51	0.5161290322580645	0.6274509803921569	0.5663716814159292
mistral	mistral-large-latest	equal	6	84	0.5714285714285714	0.5625	0.72	0.631578947368421
mistral	mistral-large-latest	equal	6	200	0.57	0.5952380952380952	0.4901960784313725	0.5376344086021505
mistral	mistral-large-latest	equal	6	12345	0.52	0.5254237288135594	0.6078431372549019	0.5636363636363636
mistral	mistral-large-latest	equal	8	36	0.5	0.5098039215686274	0.5098039215686274	0.5098039215686274
mistral	mistral-large-latest	equal	8	42	0.59	0.5735294117647058	0.7647058823529411	0.6554621848739496
mistral	mistral-large-latest	equal	8	84	0.54	0.5396825396825397	0.6666666666666666	0.5964912280701754
mistral	mistral-large-latest	equal	8	200	0.53	0.524390243902439	0.8431372549019608	0.6466165413533834
mistral	mistral-large-latest	equal	8	12345	0.51	0.51	1.0	0.6754966887417219
mistral	mistral-large-latest	equal	10	36	0.53	0.524390243902439	0.8431372549019608	0.6466165413533834
mistral	mistral-large-latest	equal	10	42	0.56	0.5466666666666666	0.803921568627451	0.6507936507936508
mistral	mistral-large-latest	equal	10	84	0.54	0.5280898876404494	0.9215686274509804	0.6714285714285714
mistral	mistral-large-latest	equal	10	200	0.52	0.5154639175257731	0.9803921568627452	0.6756756756756757
mistral	mistral-large-latest	equal	10	12345	0.53	0.5263157894736842	0.7843137254901961	0.6299212598425197
openai	gpt-4	equal	10	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	equal	2	36	0.52	0.5151515151515151	1.0	0.68
openai	gpt-3.5-turbo	equal	2	42	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	equal	2	84	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	equal	2	200	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	equal	2	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	equal	4	36	0.48	0.0	0.0	0.0
openai	gpt-3.5-turbo	equal	4	42	0.49	0.0	0.0	0.0
openai	gpt-3.5-turbo	equal	4	84	0.48	0.0	0.0	0.0
openai	gpt-3.5-turbo	equal	4	200	0.48	0.0	0.0	0.0
openai	gpt-3.5-turbo	equal	4	12345	0.48	0.0	0.0	0.0
openai	gpt-3.5-turbo	equal	6	36	0.47	0.0	0.0	0.0
openai	gpt-3.5-turbo	equal	6	42	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	equal	6	84	0.52	0.5230769230769231	0.6666666666666666	0.5862068965517241
openai	gpt-3.5-turbo	equal	6	200	0.51	0.5128205128205128	0.7843137254901961	0.6201550387596899
openai	gpt-3.5-turbo	equal	6	12345	0.52	0.5217391304347826	0.7058823529411765	0.6
openai	gpt-3.5-turbo	equal	8	36	0.46	0.0	0.0	0.0
openai	gpt-3.5-turbo	equal	8	42	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	equal	8	84	0.52	0.5151515151515151	1.0	0.68
openai	gpt-3.5-turbo	equal	8	200	0.48	0.3333333333333333	0.0196078431372549	0.037037037037037
openai	gpt-3.5-turbo	equal	8	12345	0.52	0.5154639175257731	0.9803921568627452	0.6756756756756757
openai	gpt-3.5-turbo	equal	10	36	0.51	0.51	1.0	0.6754966887417219
openai	gpt-3.5-turbo	equal	10	42	0.51	0.5102040816326531	0.9803921568627452	0.6711409395973155
openai	gpt-3.5-turbo	equal	10	84	0.47	0.3333333333333333	0.0392156862745098	0.0701754385964912
openai	gpt-3.5-turbo	equal	10	200	0.47	0.3333333333333333	0.0392156862745098	0.0701754385964912
openai	gpt-3.5-turbo	equal	10	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	equal	2	36	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	equal	2	42	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	equal	2	84	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	equal	2	200	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	equal	2	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	equal	4	36	0.49	0.0	0.0	0.0
openai	gpt-4	equal	4	42	0.49	0.0	0.0	0.0
openai	gpt-4	equal	4	84	0.49	0.0	0.0	0.0
openai	gpt-4	equal	4	200	0.49	0.0	0.0	0.0
openai	gpt-4	equal	4	12345	0.49	0.0	0.0	0.0
openai	gpt-4	equal	6	36	0.49	0.0	0.0	0.0
openai	gpt-4	equal	6	42	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	equal	6	84	0.52	0.5180722891566265	0.8431372549019608	0.6417910447761194
openai	gpt-4	equal	6	200	0.55	0.5375	0.8431372549019608	0.6564885496183206
openai	gpt-4	equal	6	12345	0.52	0.5168539325842697	0.9019607843137256	0.6571428571428571
openai	gpt-4	equal	8	36	0.49	0.0	0.0	0.0
openai	gpt-4	equal	8	42	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	equal	8	84	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	equal	8	200	0.49	0.0	0.0	0.0
openai	gpt-4	equal	8	12345	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	equal	10	36	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	equal	10	42	0.51	0.51	1.0	0.6754966887417219
openai	gpt-4	equal	10	84	0.49	0.0	0.0	0.0
openai	gpt-4	equal	10	200	0.5	1.0	0.0196078431372549	0.0384615384615384
mistral	mistral-small-latest	equal	2	36	0.5	0.5051546391752577	0.9607843137254902	0.6621621621621622
mistral	mistral-small-latest	equal	2	42	0.5	0.5051546391752577	0.9607843137254902	0.6621621621621622
